rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Atlas SLV-3 Agena D,KH-7 18,Atlas SLV-3 Agena D,United States Air Force,1965-05-27 20:48:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas D,OV1-3,Atlas D,United States Air Force,1965-05-28 02:54:56+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Failure
Thor Delta C,Explorer 28,Thor Delta C,United States Air Force,1965-05-29 12:00:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini IV,Titan II,National Aeronautics and Space Administration,1965-06-03 15:16:00+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Luna-6,Molniya 8K78,Soviet Space Program,1965-06-08 07:40:23+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Blue Scout Jr,OAR 22-5,Blue Scout Jr,United States Air Force,1965-06-09 16:26:15+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 21,Thor SLV-2A Agena D,United States Air Force,1965-06-09 21:58:16+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 28,Vostok 8A92,Soviet Space Program,1965-06-15 09:43:02+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIC,Transtage 5,Titan IIIC,United States Air Force,1965-06-18 14:00:04+00:00,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit-O 4,Thor DM-21 Ablestar,United States Air Force,1965-06-24 22:35:29+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 8,Voskhod,Soviet Space Program,1965-06-25 09:45:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 19,Atlas SLV-3 Agena D,United States Air Force,1965-06-25 19:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 138,North American X-15,United States Air Force,1965-06-29 18:21:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Thor Delta C,Tiros 10,Thor Delta C,United States Air Force,1965-07-02 04:07:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-A1 7,Kosmos-2I 63S1,Soviet Space Program,1965-07-02 06:29:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,KH-7 20,Atlas SLV-3 Agena D,United States Air Force,1965-07-12 19:00:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92,Zenit-2 29,Vostok 8A92,Soviet Space Program,1965-07-13 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Kosmos 65S3,Strela-1 15 to 19,Kosmos 65S3,Soviet Space Program,1965-07-16 03:31:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
UR-500,Proton 1,UR-500,Soviet Space Program,1965-07-16 11:16:00+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,P-770 Group 3-A 1,Thor SLV-2A Agena D,United States Air Force,1965-07-17 05:55:01+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Zond-3,Molniya 8K78,Soviet Space Program,1965-07-18 14:32:05+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 22,Thor SLV-2A Agena D,United States Air Force,1965-07-19 22:01:12+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,Vela 3A & 3B,Atlas Agena D,United States Air Force,1965-07-20 08:27:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-P1-Yu 3,Kosmos-2I 63S1,Soviet Space Program,1965-07-23 04:34:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Saturn I,Pegasus 3,Saturn I,National Aeronautics and Space Administration,1965-07-30 13:00:00+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 9,Voskhod,Soviet Space Program,1965-08-03 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 21,Atlas SLV-3 Agena D,United States Air Force,1965-08-03 19:06:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Scout B,SEV,Scout B,National Aeronautics and Space Administration,1965-08-10 17:54:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
X-15,Flight 143,North American X-15,United States Air Force,1965-08-10 19:24:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Atlas Centaur D,Surveyor-SD 2,Atlas Centaur D,United States Air Force,1965-08-11 14:31:04+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit-O 5,Thor DM-21 Ablestar,United States Air Force,1965-08-13 22:11:24+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 30,Vostok 8A92,Soviet Space Program,1965-08-14 10:56:46+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 23,Thor SLV-2A Agena D,United States Air Force,1965-08-17 20:59:57+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Titan II GLV,Gemini V,Titan II,National Aeronautics and Space Administration,1965-08-21 14:00:00+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 10,Voskhod,Soviet Space Program,1965-08-25 10:10:02+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta C,OSO C,Thor Delta C,United States Air Force,1965-08-25 15:17:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor SLV-2 Agena D,MRPV,Thor SLV-2 Agena D,United States Air Force,1965-09-02 20:00:16+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Kosmos 65S3,Strela-1 20 to 24,Kosmos 65S3,Soviet Space Program,1965-09-03 14:00:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 11,Voskhod,Soviet Space Program,1965-09-09 09:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Burner 1,DSAP-2 F1,Thor Burner 1,United States Air Force,1965-09-10 04:41:38+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 65S3,Strela-1 25 to 29,Kosmos 65S3,Soviet Space Program,1965-09-18 07:59:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 24,Thor SLV-2A Agena D,United States Air Force,1965-09-22 21:31:14+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 12,Voskhod,Soviet Space Program,1965-09-23 09:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
X-15,Flight 150,North American X-15,United States Air Force,1965-09-28 18:08:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Atlas SLV-3 Agena D,KH-7 22,Atlas SLV-3 Agena D,United States Air Force,1965-09-30 19:23:38+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Luna-7,Molniya-M,Soviet Space Program,1965-10-04 07:36:48+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas D,OV1-2,Atlas D,United States Air Force,1965-10-05 09:07:08+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 25,Thor SLV-2A Agena D,United States Air Force,1965-10-05 17:45:57+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 2,Molniya 8K78,Soviet Space Program,1965-10-14 06:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,OGO 2,Thor SLV-2A Agena D,United States Air Force,1965-10-14 13:11:55+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 153,North American X-15,United States Air Force,1965-10-14 20:47:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Titan IIIC,OV2-1,Titan IIIC,United States Air Force,1965-10-15 17:23:59+00:00,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 13,Voskhod,Soviet Space Program,1965-10-16 08:14:59+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-U2-V 1,Kosmos 11K63,Soviet Space Program,1965-10-19 05:44:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,GATV 6,Atlas SLV-3 Agena D,United States Air Force,1965-10-25 15:00:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Voskhod,Zenit-4 14,Voskhod,Soviet Space Program,1965-10-28 08:15:01+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 26,Thor SLV-2A Agena D,United States Air Force,1965-10-28 21:17:12+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
UR-500,Proton 2,UR-500,Soviet Space Program,1965-11-02 12:28:00+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-U2-V 2,Kosmos 11K63,Soviet Space Program,1965-11-04 05:31:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta E,GEOS A,Thor Delta E,United States Air Force,1965-11-06 18:38:43+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 23,Atlas SLV-3 Agena D,United States Air Force,1965-11-08 19:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Venera-2,Molniya 8K78,Soviet Space Program,1965-11-12 04:46:48+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya 8K78,Venera-3,Molniya 8K78,Soviet Space Program,1965-11-16 04:13:35+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-4,Solrad 8,Scout X-4,National Aeronautics and Space Administration,1965-11-19 04:48:27+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Molniya 8K78,Venera-4a,Molniya 8K78,Soviet Space Program,1965-11-23 03:14:10+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Kosmos 11K63,DS-U2-M 1,Kosmos 11K63,Soviet Space Program,1965-11-26 12:14:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Diamant A,Asterix,Diamant A,National Center of Space Research,1965-11-26 14:47:21+00:00,Brigitte,"Interarmy Special Vehicles Test Centre, French Algeria",Launch Successful
Vostok 8A92,Zenit-2 31,Vostok 8A92,Soviet Space Program,1965-11-27 08:20:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2 Agena B,Alouette 2,Thor SLV-2 Agena B,United States Air Force,1965-11-29 04:48:47+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Luna-8,Molniya 8K78,Soviet Space Program,1965-12-03 10:46:14+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan II GLV,Gemini VII,Titan II,National Aeronautics and Space Administration,1965-12-04 19:30:03+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-4,FR-1,Scout X-4,National Center of Space Research,1965-12-06 21:05:47+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 27,Thor SLV-2A Agena D,United States Air Force,1965-12-09 21:10:19+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 32,Vostok 8A92,Soviet Space Program,1965-12-10 08:10:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan II GLV,Gemini VI-A,Titan II,National Aeronautics and Space Administration,1965-12-15 13:37:26+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta E,Pioneer 6,Thor Delta E,United States Air Force,1965-12-16 07:31:21+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
R-36O 8K69,OGCh 1,R-36O 8K69,Soviet Space Program,1965-12-16 14:09:22+00:00,67/21,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92M,Meteor-1 3,Vostok 8A92M,Soviet Space Program,1965-12-17 02:20:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-P1-Yu 4,Kosmos-2I 63S1,Soviet Space Program,1965-12-21 06:14:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Titan IIIC,OV2-3,Titan IIIC,United States Air Force,1965-12-21 14:00:01+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout A,Transit-O 6,Scout A,United States Air Force,1965-12-22 04:33:04+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 28,Thor SLV-2A Agena D,United States Air Force,1965-12-24 21:06:15+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Soyuz 11A510,US-AO 1,Soyuz 11A510,Soviet Space Program,1965-12-27 22:24:56+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-K-40 1,Kosmos-2I 63S1,Soviet Space Program,1965-12-28 08:10:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Failure
Kosmos 65S3,Strela-2 1,Kosmos 65S3,Soviet Space Program,1965-12-28 12:30:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Burner 1,DSAP-2 F2,Thor Burner 1,United States Air Force,1966-01-07 04:48:23+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92,Zenit-2 33,Vostok 8A92,Soviet Space Program,1966-01-07 08:20:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 24,Atlas SLV-3 Agena D,United States Air Force,1966-01-19 20:03:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe II,A-004,Little Joe II,National Aeronautics and Space Administration,1966-01-20 15:17:01+00:00,Launch Complex 36,White Sands Missile Range,Launch Successful
Vostok 8A92,Zenit-2 34,Vostok 8A92,Soviet Space Program,1966-01-22 08:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-I 1,Kosmos 11K63,Soviet Space Program,1966-01-25 12:28:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Scout A,Transit-O 7,Scout A,United States Air Force,1966-01-28 17:06:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Luna-9,Molniya-M,Soviet Space Program,1966-01-31 11:41:37+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 29,Thor SLV-2A Agena D,United States Air Force,1966-02-02 21:32:13+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta C,ESSA 1,Thor Delta C,United States Air Force,1966-02-03 07:41:23+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
R-36O 8K69,OGCh 2,R-36O 8K69,Soviet Space Program,1966-02-05 12:19:49+00:00,67/21,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,P-770 Group 3-D 2,Thor SLV-2A Agena D,United States Air Force,1966-02-09 19:45:01+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-4A,Reentry 4B,Scout X-4A,National Aeronautics and Space Administration,1966-02-10 00:55:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Vostok 8A92,Zenit-2 35,Vostok 8A92,Soviet Space Program,1966-02-10 08:40:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-U1-G 1,Kosmos-2I 63S1,Soviet Space Program,1966-02-11 18:00:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,KH-7 25,Atlas SLV-3 Agena D,United States Air Force,1966-02-15 20:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Diamant A,Diapason D-1A,Diamant A,National Center of Space Research,1966-02-17 08:33:36+00:00,Brigitte,"Interarmy Special Vehicles Test Centre, French Algeria",Launch Successful
Voskhod,Zenit-4 15,Voskhod,Soviet Space Program,1966-02-19 08:49:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-K-40 2,Kosmos-2I 63S1,Soviet Space Program,1966-02-21 13:30:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Failure
Voskhod,Voskhod-3KV 3,Voskhod,Soviet Space Program,1966-02-22 20:09:36+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Saturn IB,Apollo AS-201,Saturn IB,National Aeronautics and Space Administration,1966-02-26 16:12:01+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta E,ESSA 2,Thor Delta E,United States Air Force,1966-02-28 13:58:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya-M,Luna-10a,Molniya-M,Soviet Space Program,1966-03-01 11:03:49+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor SLV-2A Agena D,KH-4A 30,Thor SLV-2A Agena D,United States Air Force,1966-03-09 22:02:03+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,GATV 8,Atlas SLV-3 Agena D,United States Air Force,1966-03-16 15:00:03+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini VIII,Titan II,National Aeronautics and Space Administration,1966-03-16 16:41:02+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 36,Vostok 8A92,Soviet Space Program,1966-03-17 10:28:42+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Trailblazer 2,Trailblazer Pellet,Trailblazer 2,National Aeronautics and Space Administration,1966-03-18 01:15:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 26,Atlas SLV-3 Agena D,United States Air Force,1966-03-18 20:00:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 16,Voskhod,Soviet Space Program,1966-03-21 09:40:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
UR-500,Proton 3a,UR-500,Soviet Space Program,1966-03-24 14:39:00+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Scout A,Transit-O 8,Scout A,United States Air Force,1966-03-26 03:31:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 3a,Molniya 8K78,Soviet Space Program,1966-03-27 07:20:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas D,OV1-4 & 5,Atlas D,United States Air Force,1966-03-30 09:20:12+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Successful
Thor Burner 1,DSAP-2 F3,Thor Burner 1,United States Air Force,1966-03-31 05:41:04+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Luna-10,Molniya-M,Soviet Space Program,1966-03-31 10:46:59+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 17,Voskhod,Soviet Space Program,1966-04-06 11:40:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thor SLV-2A Agena D,KH-4A 31,Thor SLV-2A Agena D,United States Air Force,1966-04-07 22:02:55+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Centaur D,Surveyor M-2,Atlas Centaur D,United States Air Force,1966-04-08 01:00:02+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,OAO 1,Atlas SLV-3 Agena D,United States Air Force,1966-04-08 19:35:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 27,Atlas SLV-3 Agena D,United States Air Force,1966-04-19 19:15:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 37,Vostok 8A92,Soviet Space Program,1966-04-20 10:40:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout B,OV3-1,Scout B,United States Air Force,1966-04-22 09:45:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 3,Molniya 8K78,Soviet Space Program,1966-04-25 07:10:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 5,Kosmos 11K63,Soviet Space Program,1966-04-26 10:04:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Thor SLV-2A Agena D,KH-4A 32,Thor SLV-2A Agena D,United States Air Force,1966-05-03 19:25:25+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92,Zenit-2 38,Vostok 8A92,Soviet Space Program,1966-05-06 10:58:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92M,Meteor-1 4,Vostok 8A92M,Soviet Space Program,1966-05-11 14:10:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 28,Atlas SLV-3 Agena D,United States Air Force,1966-05-14 19:02:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena B,Nimbus 2,Thor SLV-2A Agena B,United States Air Force,1966-05-15 07:55:34+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 18,Voskhod,Soviet Space Program,1966-05-17 11:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Atlas SLV-3 Agena D,GATV 9,Atlas SLV-3 Agena D,United States Air Force,1966-05-17 15:15:03+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Scout A,Transit-O 9,Scout A,United States Air Force,1966-05-19 02:27:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
R-36O 8K69,OGCh 4,R-36O 8K69,Soviet Space Program,1966-05-19 19:30:00+00:00,67/22,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 33,Thor SLV-2A Agena D,United States Air Force,1966-05-24 02:00:33+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U2-I 1,Kosmos 11K63,Soviet Space Program,1966-05-24 05:31:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta C1,Explorer 32,Thor Delta C1,United States Air Force,1966-05-25 14:00:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Centaur D,Surveyor 1,Atlas Centaur D,United States Air Force,1966-05-30 14:41:01+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3,ATDA,Atlas SLV-3,United States Air Force,1966-06-01 15:00:02+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini IX-A,Titan II,National Aeronautics and Space Administration,1966-06-03 13:39:33+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 29,Atlas SLV-3 Agena D,United States Air Force,1966-06-03 19:25:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena B,OGO 3,Atlas SLV-3 Agena B,United States Air Force,1966-06-07 02:48:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-2 39,Voskhod,Soviet Space Program,1966-06-08 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,RTS-1 1,Atlas SLV-3 Agena D,United States Air Force,1966-06-09 20:15:00+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Scout B,OV3-4,Scout B,United States Air Force,1966-06-10 04:15:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Titan IIIC,IDCSP 1 to 7,Titan IIIC,United States Air Force,1966-06-16 14:00:01+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 19,Voskhod,Soviet Space Program,1966-06-17 11:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thor SLV-2A Agena D,KH-4A 34,Thor SLV-2A Agena D,United States Air Force,1966-06-21 21:31:30+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,Pageos,Thor SLV-2A Agena D,United States Air Force,1966-06-24 00:12:02+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92M,Meteor-1 5,Vostok 8A92M,Soviet Space Program,1966-06-25 10:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta E1,Explorer 33,Thor Delta E1,United States Air Force,1966-07-01 16:02:25+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Saturn IB,Apollo AS-203,Saturn IB,National Aeronautics and Space Administration,1966-07-05 14:53:17+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
UR-500,Proton 3,UR-500,Soviet Space Program,1966-07-06 12:57:00+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
