rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Little Joe,LJ-5B,Little Joe,National Aeronautics and Space Administration,1961-04-28 14:03:00+00:00,Launch Area 4,"Wallops Flight Facility, Virginia, USA",Launch Successful
Redstone MRLV,Mercury-Redstone 3,Redstone,National Aeronautics and Space Administration,1961-05-05 14:34:13+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Juno II,S-45A,Juno II,Army Ballistic Missile Agency,1961-05-24 19:48:05+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor DM-21 Agena-B,KH-5 3,Thor DM-21 Agena-B,United States Air Force,1961-06-08 21:16:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 25,Thor DM-21 Agena-B,United States Air Force,1961-06-16 23:02:52+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Ablestar,Transit 4A & Injun-1 & Solrad 3,Thor DM-21 Ablestar,United States Air Force,1961-06-29 04:23:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-1,S-55,Scout X-1,National Aeronautics and Space Administration,1961-06-30 17:09:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 26,Thor DM-21 Agena-B,United States Air Force,1961-07-07 23:29:48+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Delta DM-19,Tiros-3,Delta DM-19,United States Air Force,1961-07-12 10:25:06+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3A,MIDAS 3,Atlas Agena B,United States Air Force,1961-07-12 15:11:46+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Redstone MRLV,Mercury-Redstone 4,Redstone,National Aeronautics and Space Administration,1961-07-21 12:20:00+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,KH-5 4,Thor DM-21 Agena-B,United States Air Force,1961-07-21 22:35:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 28,Thor DM-21 Agena-B,United States Air Force,1961-08-04 00:01:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok-K,Vostok 2,Vostok,Soviet Space Program,1961-08-06 06:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Delta DM-19,Explorer 12,Delta DM-19,United States Air Force,1961-08-16 03:21:05+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Blue Scout Jr,O-1,Blue Scout Jr,United States Air Force,1961-08-17 14:29:00+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3A,Ranger 1,Atlas Agena B,United States Air Force,1961-08-23 10:04:10+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure
Scout X-1,Explorer 13,Scout X-1,National Aeronautics and Space Administration,1961-08-25 18:29:44+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 29,Thor DM-21 Agena-B,United States Air Force,1961-08-30 20:00:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas LV-3A,Samos 3,Atlas Agena B,United States Air Force,1961-09-09 19:28:27+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 30,Thor DM-21 Agena-B,United States Air Force,1961-09-12 19:59:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 4,Atlas LV-3B,National Aeronautics and Space Administration,1961-09-13 14:04:16+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 31,Thor DM-21 Agena-B,United States Air Force,1961-09-17 21:00:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 32,Thor DM-21 Agena-B,United States Air Force,1961-10-13 19:22:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-1,P-21,Scout X-1,National Aeronautics and Space Administration,1961-10-19 17:38:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Atlas LV-3A,MIDAS 4 & Westford-1,Atlas Agena B,United States Air Force,1961-10-21 13:53:03+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 33,Thor DM-21 Agena-B,United States Air Force,1961-10-23 19:23:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Saturn I,Saturn SA-1,Saturn I,National Aeronautics and Space Administration,1961-10-27 15:06:04+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,Kosmos-2I | DS-1-1,Kosmos-2I 63S1,Strategic Rocket Forces,1961-10-27 16:30:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Blue Scout II,Mercury-Scout 1,Blue Scout II,National Aeronautics and Space Administration,1961-11-01 15:32:00+00:00,Launch Complex 18B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 34,Thor DM-21 Agena-B,United States Air Force,1961-11-05 20:00:30+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch was a Partial Failure
